time,sym,action,pos,price,mm,acc,comission
14:22:05,IMMR,SLD,20,12.57,DRCTEDGE,U3409032,1.01
14:15:00,OXBR,SLD,80,3.16,DRCTEDGE,U3409032,1.02
14:14:10,OXBR,BOT,80,3.12,IBKRATS,U3409032,1
14:11:00,OXBR,SLD,80,3,IBKRATS,U3409032,1.01
14:08:27,OXBR,BOT,80,3.1,IBKRATS,U3409032,1
14:06:56,IMMR,BOT,20,12.2373,DARK,U3409032,1
13:16:03,IMMR,SLD,20,12.21,IBKRATS,U3409032,1.01
13:12:05,OXBR,SLD,105,2.47,IBKRATS + 1,U3409032,1.02
13:11:35,IMMR,BOT,20,12.38,DARK,U3409032,1
13:06:54,IMMR,SLD,20,12.13,DRCTEDGE,U3409032,1.01
13:04:07,OXBR,BOT,105,2.38,IBKRATS,U3409032,1
13:03:59,IMMR,BOT,20,12.36,ARCA,U3409032,1
12:35:02,OXBR,SLD,107,2.29,IBKRATS,U3409032,1.02
12:30:35,OXBR,BOT,107,2.315,DARK + 1,U3409032,1
12:15:01,IMMR,SLD,19,12.64,IBKRATS,U3409032,1.01
12:07:02,IMMR,BOT,19,12.65,EDGEA,U3409032,1
11:48:06,TENX,SLD,410,2.4,IBKRATS + 1,U3409032,2.12
11:45:21,TENX,BOT,410,2.44,ISLAND + 1,U3409032,2.05
11:41:16,TENX,SLD,102,2.42,IBKRATS,U3409032,1.02
11:41:14,TENX,BOT,102,2.43,IBKRATS,U3409032,1
11:41:13,TENX,SLD,103,2.43,DRCTEDGE,U3409032,1.02
11:41:12,TENX,BOT,103,2.43,IBKRATS,U3409032,1
11:41:01,TENX,SLD,103,2.41,IBKRATS,U3409032,1.02
11:38:32,TENX,BOT,103,2.42,IBKRATS,U3409032,1
11:17:01,GEVO,SLD,56,4.43,IBKRATS,U3409032,1.01
11:16:04,TENX,SLD,97,2.41,IBKRATS + 1,U3409032,1.02
11:13:15,TENX,BOT,97,2.58,IBKRATS,U3409032,1
11:12:00,GEVO,BOT,56,4.425,DARK,U3409032,1
10:48:01,GEVO,SLD,57,4.44,IBKRATS,U3409032,1.01
10:37:06,GEVO,BOT,57,4.375,DARK,U3409032,1
10:13:12,IMTE,SLD,41,5.4,ISLAND,U3409032,1.01
9:57:07,IMTE,BOT,41,5.9,ISLAND,U3409032,1
9:50:37,KOSS,SLD,52,4.45,ISLAND,U3409032,1.01
9:47:00,KOSS,BOT,52,4.79,ISLAND,U3409032,1
9:37:00,UUU,SLD,18,12.42,ARCA,U3409032,1.01
9:34:21,GBR,SLD,75,3.1,AMEX,U3409032,1.01
9:34:17,GBR,BOT,75,3.32,IBKRATS,U3409032,1
9:32:21,GBR,SLD,75,3.16,DRCTEDGE,U3409032,1.01
9:32:13,GBR,BOT,75,3.24,ISLAND,U3409032,1
9:31:27,UUU,BOT,18,12.94,IBKRATS,U3409032,1
